STUID,DOB,GENDER,ETHNICITYID,ETHNICITY,CITYID,CITY,DISTRICTID,DISTRICT,FEEDERID,FEEDER,PROGRAMSTART,CODE,PROGRAM,DEGREEID,DEGREE,PROGRAMSTATUS,GRADDATE,PROGRAMEND,BREAK,ENROLLEDSEMESTER,SEMESTERCREDITSATTEMPTED,SEMESTERCREDITSEARNED,SEMESTERPOINTS,SEMESTERGPA,COURSECODE,COURSETITLE,COURSEGRADE,COURSECREDITS,COURSEPOINTS,COURSEGPA,COMMENTS,CGPA
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,9.00,2.50,CMPS314,ALGORITHMS,B,3.00,9.00,3.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,7.50,2.50,CMPS316,PROGRAMMING LANGUAGES,C+,3.00,7.50,2.50,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,9.00,3.10,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B,3.00,9.00,3.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,10.50,3.50,MATH480,LINEAR PROGRAMMING.,B+,3.00,10.50,3.50,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,7.50,2.50,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,C+,3.00,7.50,2.50,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,7.50,2.50,ENGL318,TECHNICAL WRITING.,C+,3.00,7.50,2.50,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-1,3.00,3.00,6.00,2.50,MATH330,DISCRETE MATHEMATHICS,C,3.00,6.00,2.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,11.25,3.50,CMPS414,NETWORKING II,A-,3.00,11.25,3.75,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,11.25,3.50,CMPS418,LINUX ADMINISTRATION,A-,3.00,11.25,3.75,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-2,12.00,12.00,48.00,3.95,CMPS429,SENIOR INTERNSHIP,A,12.00,48.00,4.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,10.50,3.10,CMPS324,SOFTWARE ENGINEERING,B+,3.00,10.50,3.50,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-1,3.00,3.00,9.00,3.50,MATH441,NUMERICAL ANALYSIS,B,3.00,9.00,3.00,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2005-2,3.00,3.00,11.25,3.95,CMPS328,DATABASE MGMT. SYS. II,A-,3.00,11.25,3.75,,3.26
1,20/03/1983,F,8,Creole,"53,222",BELIZE CITY,75,BELIZE,164,UNIVERSITY OF BELIZE,16/08/2004,BINT,Information Technology,13,Bachelor of Science,Graduated,11/06/2006,19/05/2006,-,2004-2,3.00,3.00,9.00,3.10,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B,3.00,9.00,3.00,,3.26
